/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 56382
Connected to : 127.0.0.1 : 56385
Connected to : 127.0.0.1 : 56390
Connected to : 127.0.0.1 : 56395
Connected to : 127.0.0.1 : 56403
Connected to : 127.0.0.1 : 56419
Connected to : 127.0.0.1 : 56426
Connected to : 127.0.0.1 : 56435
Connected to : 127.0.0.1 : 56444
Connected to : 127.0.0.1 : 56448
Connected to : 127.0.0.1 : 56453
Connected to : 127.0.0.1 : 56456
Connected to : 127.0.0.1 : 56460
Connected to : 127.0.0.1 : 56471
Connected to : 127.0.0.1 : 56479
Connected to : 127.0.0.1 : 56488
Connected to : 127.0.0.1 : 56492
Connected to : 127.0.0.1 : 56496
Connected to : 127.0.0.1 : 56501
Connected to : 127.0.0.1 : 56508
Connected to : 127.0.0.1 : 56519
Connected to : 127.0.0.1 : 56526
Connected to : 127.0.0.1 : 56533
Connected to : 127.0.0.1 : 56540
Connected to : 127.0.0.1 : 56548
Connected to : 127.0.0.1 : 56554
Connected to : 127.0.0.1 : 56563
Connected to : 127.0.0.1 : 56570
Connected to : 127.0.0.1 : 56579
Connected to : 127.0.0.1 : 56584
Connected to : 127.0.0.1 : 56588
Connected to : 127.0.0.1 : 56596
Connected to : 127.0.0.1 : 56606
Connected to : 127.0.0.1 : 56612
Connected to : 127.0.0.1 : 56617
Connected to : 127.0.0.1 : 56620
Connected to : 127.0.0.1 : 56628
Connected to : 127.0.0.1 : 56638
Connected to : 127.0.0.1 : 56647
Connected to : 127.0.0.1 : 56652
Connected to : 127.0.0.1 : 56656
Connected to : 127.0.0.1 : 56664
Connected to : 127.0.0.1 : 56673
Connected to : 127.0.0.1 : 56678
Connected to : 127.0.0.1 : 56696
Connected to : 127.0.0.1 : 56703
Connected to : 127.0.0.1 : 56713
Connected to : 127.0.0.1 : 56718
Connected to : 127.0.0.1 : 56723
Connected to : 127.0.0.1 : 56726
Connected to : 127.0.0.1 : 56733
Connected to : 127.0.0.1 : 56741
Connected to : 127.0.0.1 : 56751
Connected to : 127.0.0.1 : 56754
Connected to : 127.0.0.1 : 56759
Connected to : 127.0.0.1 : 56763
Connected to : 127.0.0.1 : 56769
Connected to : 127.0.0.1 : 56780
Connected to : 127.0.0.1 : 56786
Connected to : 127.0.0.1 : 56791
Connected to : 127.0.0.1 : 56795
Connected to : 127.0.0.1 : 56803
Connected to : 127.0.0.1 : 56813
Connected to : 127.0.0.1 : 56821
Connected to : 127.0.0.1 : 56824
Connected to : 127.0.0.1 : 56828
Connected to : 127.0.0.1 : 56833
Connected to : 127.0.0.1 : 56842
Connected to : 127.0.0.1 : 56852
Connected to : 127.0.0.1 : 56859
Connected to : 127.0.0.1 : 56869
Connected to : 127.0.0.1 : 56877
Connected to : 127.0.0.1 : 56887
Connected to : 127.0.0.1 : 56893
Connected to : 127.0.0.1 : 56899
Connected to : 127.0.0.1 : 56902
Connected to : 127.0.0.1 : 56908
Connected to : 127.0.0.1 : 56921
Connected to : 127.0.0.1 : 56931
Connected to : 127.0.0.1 : 56937
Connected to : 127.0.0.1 : 56942
Connected to : 127.0.0.1 : 56950
Connected to : 127.0.0.1 : 56959
Connected to : 127.0.0.1 : 56966
Connected to : 127.0.0.1 : 56981
Connected to : 127.0.0.1 : 56986
Connected to : 127.0.0.1 : 57018
Connected to : 127.0.0.1 : 57021
Connected to : 127.0.0.1 : 57029
Connected to : 127.0.0.1 : 57038
Connected to : 127.0.0.1 : 57045
Connected to : 127.0.0.1 : 57054
