/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Leader Node Port:  9000
socket order service is listening
Connected to : 127.0.0.1 : 49841
Connected to : 127.0.0.1 : 49844
Connected to : 127.0.0.1 : 49848
Connected to : 127.0.0.1 : 49860
Connected to : 127.0.0.1 : 49864
Connected to : 127.0.0.1 : 49869
Connected to : 127.0.0.1 : 49872
Connected to : 127.0.0.1 : 49877
Connected to : 127.0.0.1 : 49887
Connected to : 127.0.0.1 : 49894
Connected to : 127.0.0.1 : 49897
Connected to : 127.0.0.1 : 49902
Connected to : 127.0.0.1 : 49906
Connected to : 127.0.0.1 : 49912
Connected to : 127.0.0.1 : 49924
Connected to : 127.0.0.1 : 49929
Connected to : 127.0.0.1 : 49933
Connected to : 127.0.0.1 : 49935
Connected to : 127.0.0.1 : 49938
Connected to : 127.0.0.1 : 49953
Connected to : 127.0.0.1 : 49958
Connected to : 127.0.0.1 : 49963
Connected to : 127.0.0.1 : 49967
Connected to : 127.0.0.1 : 49972
Connected to : 127.0.0.1 : 49981
Connected to : 127.0.0.1 : 49989
Connected to : 127.0.0.1 : 49993
Connected to : 127.0.0.1 : 49996
Connected to : 127.0.0.1 : 50001
Connected to : 127.0.0.1 : 50011
Connected to : 127.0.0.1 : 50020
Connected to : 127.0.0.1 : 50022
Connected to : 127.0.0.1 : 50027
Connected to : 127.0.0.1 : 50031
Connected to : 127.0.0.1 : 50037
Connected to : 127.0.0.1 : 50047
Connected to : 127.0.0.1 : 50053
Connected to : 127.0.0.1 : 50055
Connected to : 127.0.0.1 : 50063
Connected to : 127.0.0.1 : 50070
Connected to : 127.0.0.1 : 50077
Connected to : 127.0.0.1 : 50082
Connected to : 127.0.0.1 : 50087
Connected to : 127.0.0.1 : 50092
Connected to : 127.0.0.1 : 50096
Connected to : 127.0.0.1 : 50101
Connected to : 127.0.0.1 : 50108
Connected to : 127.0.0.1 : 50116
Connected to : 127.0.0.1 : 50119
Connected to : 127.0.0.1 : 50125
Connected to : 127.0.0.1 : 50131
Connected to : 127.0.0.1 : 50138
Connected to : 127.0.0.1 : 50147
Connected to : 127.0.0.1 : 50150
Connected to : 127.0.0.1 : 50155
Connected to : 127.0.0.1 : 50159
Connected to : 127.0.0.1 : 50165
Connected to : 127.0.0.1 : 50173
Connected to : 127.0.0.1 : 50180
Connected to : 127.0.0.1 : 50184
Connected to : 127.0.0.1 : 50191
Connected to : 127.0.0.1 : 50196
Connected to : 127.0.0.1 : 50202
Connected to : 127.0.0.1 : 50208
Connected to : 127.0.0.1 : 50216
Connected to : 127.0.0.1 : 50220
Connected to : 127.0.0.1 : 50226
Connected to : 127.0.0.1 : 50231
Connected to : 127.0.0.1 : 50239
Connected to : 127.0.0.1 : 50246
Connected to : 127.0.0.1 : 50254
Connected to : 127.0.0.1 : 50257
Connected to : 127.0.0.1 : 50264
Connected to : 127.0.0.1 : 50267
Connected to : 127.0.0.1 : 50273
Connected to : 127.0.0.1 : 50278
Connected to : 127.0.0.1 : 50285
Connected to : 127.0.0.1 : 50291
Connected to : 127.0.0.1 : 50295
Connected to : 127.0.0.1 : 50300
Connected to : 127.0.0.1 : 50311
Connected to : 127.0.0.1 : 50316
Connected to : 127.0.0.1 : 50320
Connected to : 127.0.0.1 : 50323
Connected to : 127.0.0.1 : 50328
Connected to : 127.0.0.1 : 50335
Connected to : 127.0.0.1 : 50346
Connected to : 127.0.0.1 : 50351
Connected to : 127.0.0.1 : 50355
Connected to : 127.0.0.1 : 50359
Connected to : 127.0.0.1 : 50362
Connected to : 127.0.0.1 : 50372
Connected to : 127.0.0.1 : 50380
Connected to : 127.0.0.1 : 50383
Connected to : 127.0.0.1 : 50386
Connected to : 127.0.0.1 : 50390
Connected to : 127.0.0.1 : 50397
Connected to : 127.0.0.1 : 50408
Connected to : 127.0.0.1 : 50413
Connected to : 127.0.0.1 : 50419
Connected to : 127.0.0.1 : 50422
Connected to : 127.0.0.1 : 50426
Connected to : 127.0.0.1 : 50437
Connected to : 127.0.0.1 : 50442
Connected to : 127.0.0.1 : 50446
Connected to : 127.0.0.1 : 50451
Connected to : 127.0.0.1 : 50455
Connected to : 127.0.0.1 : 50461
Connected to : 127.0.0.1 : 50470
Connected to : 127.0.0.1 : 50474
Connected to : 127.0.0.1 : 50479
Connected to : 127.0.0.1 : 50484
Connected to : 127.0.0.1 : 50488
Connected to : 127.0.0.1 : 50498
Connected to : 127.0.0.1 : 50505
Connected to : 127.0.0.1 : 50509
Connected to : 127.0.0.1 : 50512
Connected to : 127.0.0.1 : 50516
Connected to : 127.0.0.1 : 50531
Connected to : 127.0.0.1 : 50533
Connected to : 127.0.0.1 : 50539
Connected to : 127.0.0.1 : 50541
Connected to : 127.0.0.1 : 50545
Connected to : 127.0.0.1 : 50558
Connected to : 127.0.0.1 : 50566
Connected to : 127.0.0.1 : 50570
Connected to : 127.0.0.1 : 50574
Connected to : 127.0.0.1 : 50577
Connected to : 127.0.0.1 : 50581
Connected to : 127.0.0.1 : 50593
Connected to : 127.0.0.1 : 50601
Connected to : 127.0.0.1 : 50603
Connected to : 127.0.0.1 : 50607
Connected to : 127.0.0.1 : 50611
Connected to : 127.0.0.1 : 50621
Connected to : 127.0.0.1 : 50630
Connected to : 127.0.0.1 : 50635
Connected to : 127.0.0.1 : 50639
Connected to : 127.0.0.1 : 50642
Connected to : 127.0.0.1 : 50646
Connected to : 127.0.0.1 : 50661
Connected to : 127.0.0.1 : 50664
Connected to : 127.0.0.1 : 50666
Connected to : 127.0.0.1 : 50669
Connected to : 127.0.0.1 : 50672
Connected to : 127.0.0.1 : 50689
Connected to : 127.0.0.1 : 50693
Connected to : 127.0.0.1 : 50696
Connected to : 127.0.0.1 : 50699
Connected to : 127.0.0.1 : 50702
Connected to : 127.0.0.1 : 50712
Connected to : 127.0.0.1 : 50721
Connected to : 127.0.0.1 : 50728
Connected to : 127.0.0.1 : 50735
Connected to : 127.0.0.1 : 50740
Connected to : 127.0.0.1 : 50742
Connected to : 127.0.0.1 : 50747
Connected to : 127.0.0.1 : 50761
Connected to : 127.0.0.1 : 50763
Connected to : 127.0.0.1 : 50771
Connected to : 127.0.0.1 : 50775
Connected to : 127.0.0.1 : 50778
Connected to : 127.0.0.1 : 50784
Connected to : 127.0.0.1 : 50792
Connected to : 127.0.0.1 : 50797
Connected to : 127.0.0.1 : 50801
Connected to : 127.0.0.1 : 50805
Connected to : 127.0.0.1 : 50810
Connected to : 127.0.0.1 : 50820
Connected to : 127.0.0.1 : 50827
Connected to : 127.0.0.1 : 50832
Connected to : 127.0.0.1 : 50837
Connected to : 127.0.0.1 : 50847
Connected to : 127.0.0.1 : 50854
Connected to : 127.0.0.1 : 50858
Connected to : 127.0.0.1 : 50865
Connected to : 127.0.0.1 : 50873
Connected to : 127.0.0.1 : 50879
Connected to : 127.0.0.1 : 50883
Connected to : 127.0.0.1 : 50887
Connected to : 127.0.0.1 : 50891
Connected to : 127.0.0.1 : 50901
Connected to : 127.0.0.1 : 50908
Connected to : 127.0.0.1 : 50912
Connected to : 127.0.0.1 : 50917
Connected to : 127.0.0.1 : 50921
Connected to : 127.0.0.1 : 50926
Connected to : 127.0.0.1 : 50935
Connected to : 127.0.0.1 : 50944
Connected to : 127.0.0.1 : 50951
Connected to : 127.0.0.1 : 50955
Connected to : 127.0.0.1 : 50958
Connected to : 127.0.0.1 : 50963
Connected to : 127.0.0.1 : 50971
Connected to : 127.0.0.1 : 50980
Connected to : 127.0.0.1 : 50988
Connected to : 127.0.0.1 : 50998
Connected to : 127.0.0.1 : 51005
Connected to : 127.0.0.1 : 51010
Connected to : 127.0.0.1 : 51012
Connected to : 127.0.0.1 : 51020
Connected to : 127.0.0.1 : 51028
Connected to : 127.0.0.1 : 51031
