Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 59676
Connected to : 127.0.0.1 : 59690
Connected to : 127.0.0.1 : 59704
Connected to : 127.0.0.1 : 59716
Connected to : 127.0.0.1 : 59726
Connected to : 127.0.0.1 : 59736
Connected to : 127.0.0.1 : 59758
Connected to : 127.0.0.1 : 59762
Connected to : 127.0.0.1 : 59784
Connected to : 127.0.0.1 : 59788
Connected to : 127.0.0.1 : 59792
Connected to : 127.0.0.1 : 59808
Connected to : 127.0.0.1 : 59820
Connected to : 127.0.0.1 : 59840
Connected to : 127.0.0.1 : 59844
Connected to : 127.0.0.1 : 59868
Connected to : 127.0.0.1 : 59880
Connected to : 127.0.0.1 : 59884
Connected to : 127.0.0.1 : 59898
Connected to : 127.0.0.1 : 59902
Connected to : 127.0.0.1 : 59926
Connected to : 127.0.0.1 : 59934
Connected to : 127.0.0.1 : 59950
Connected to : 127.0.0.1 : 59954
Connected to : 127.0.0.1 : 59970
Connected to : 127.0.0.1 : 59994
Connected to : 127.0.0.1 : 59998
Connected to : 127.0.0.1 : 60002
Connected to : 127.0.0.1 : 60020
Connected to : 127.0.0.1 : 60024
Connected to : 127.0.0.1 : 60048
Connected to : 127.0.0.1 : 60052
Connected to : 127.0.0.1 : 60066
Connected to : 127.0.0.1 : 60072
Connected to : 127.0.0.1 : 60082
Connected to : 127.0.0.1 : 60116
Connected to : 127.0.0.1 : 60120
Connected to : 127.0.0.1 : 60124
Connected to : 127.0.0.1 : 60128
Connected to : 127.0.0.1 : 60132
Connected to : 127.0.0.1 : 60162
Connected to : 127.0.0.1 : 60170
Connected to : 127.0.0.1 : 60178
Connected to : 127.0.0.1 : 60188
Connected to : 127.0.0.1 : 60204
Connected to : 127.0.0.1 : 60218
Connected to : 127.0.0.1 : 60230
Connected to : 127.0.0.1 : 60240
Connected to : 127.0.0.1 : 60252
Connected to : 127.0.0.1 : 60272
Connected to : 127.0.0.1 : 60276
Connected to : 127.0.0.1 : 60292
Connected to : 127.0.0.1 : 60308
Connected to : 127.0.0.1 : 60312
Connected to : 127.0.0.1 : 60342
Connected to : 127.0.0.1 : 60346
Connected to : 127.0.0.1 : 60350
Connected to : 127.0.0.1 : 60366
Connected to : 127.0.0.1 : 60378
Connected to : 127.0.0.1 : 60394
Connected to : 127.0.0.1 : 60398
Connected to : 127.0.0.1 : 60414
Connected to : 127.0.0.1 : 60418
Connected to : 127.0.0.1 : 60444
Connected to : 127.0.0.1 : 60448
Connected to : 127.0.0.1 : 60464
Connected to : 127.0.0.1 : 60468
Connected to : 127.0.0.1 : 60490
Connected to : 127.0.0.1 : 60494
Connected to : 127.0.0.1 : 60510
Connected to : 127.0.0.1 : 60514
Connected to : 127.0.0.1 : 60538
Connected to : 127.0.0.1 : 60556
Connected to : 127.0.0.1 : 60560
Connected to : 127.0.0.1 : 60580
Connected to : 127.0.0.1 : 60584
Connected to : 127.0.0.1 : 60598
Connected to : 127.0.0.1 : 60602
Connected to : 127.0.0.1 : 60620
Connected to : 127.0.0.1 : 60630
Connected to : 127.0.0.1 : 60640
Connected to : 127.0.0.1 : 60662
Connected to : 127.0.0.1 : 60666
Connected to : 127.0.0.1 : 60680
Connected to : 127.0.0.1 : 60684
Connected to : 127.0.0.1 : 60714
Connected to : 127.0.0.1 : 60718
Connected to : 127.0.0.1 : 60722
Connected to : 127.0.0.1 : 60742
Connected to : 127.0.0.1 : 60750
Connected to : 127.0.0.1 : 60758
Connected to : 127.0.0.1 : 60768
Connected to : 127.0.0.1 : 60788
Connected to : 127.0.0.1 : 60806
Connected to : 127.0.0.1 : 60810
Connected to : 127.0.0.1 : 60834
Connected to : 127.0.0.1 : 60838
Connected to : 127.0.0.1 : 60858
Connected to : 127.0.0.1 : 60872
Connected to : 127.0.0.1 : 60876
